epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9825.08,1.11523,0.45287,1.0927,0.85269,0.79856,0.84455,0.45842,1.45575,0.65771,1.11842,0.0045827,0.0045827,0.0045827
43,10057.2,1.10418,0.44732,1.09044,0.85106,0.80283,0.84523,0.45891,1.45654,0.6569,1.11781,0.00445057,0.00445057,0.00445057
44,10290.1,1.103,0.44833,1.08762,0.85395,0.79919,0.84602,0.45962,1.45538,0.6557,1.11706,0.00431844,0.00431844,0.00431844
45,10522.4,1.11219,0.44912,1.0905,0.85148,0.80356,0.84513,0.45922,1.45366,0.65459,1.1161,0.00418631,0.00418631,0.00418631
46,10754.8,1.10953,0.44678,1.08654,0.85285,0.80324,0.8443,0.46004,1.45413,0.65393,1.11606,0.00405418,0.00405418,0.00405418
47,10987.5,1.09937,0.43737,1.08643,0.85224,0.80483,0.84445,0.46033,1.45386,0.65304,1.11555,0.00392205,0.00392205,0.00392205
48,11221.1,1.08547,0.43108,1.08117,0.85182,0.80801,0.84502,0.45929,1.45431,0.6528,1.11451,0.00378992,0.00378992,0.00378992
49,11451.5,1.09084,0.43709,1.0835,0.84838,0.80749,0.84541,0.45943,1.45316,0.65214,1.11371,0.00365779,0.00365779,0.00365779
50,11683.4,1.08942,0.43479,1.08093,0.847,0.80801,0.8449,0.45957,1.45271,0.6515,1.11296,0.00352566,0.00352566,0.00352566
51,11918,1.08078,0.43093,1.07968,0.84753,0.80865,0.84419,0.46042,1.45364,0.65169,1.11408,0.00339353,0.00339353,0.00339353
52,12146.4,1.07836,0.43123,1.07728,0.84628,0.81055,0.84435,0.45987,1.45273,0.65155,1.11357,0.0032614,0.0032614,0.0032614
53,12372.4,1.08282,0.42865,1.07668,0.84562,0.81137,0.84544,0.4602,1.45301,0.6515,1.11335,0.00312927,0.00312927,0.00312927
54,12599.7,1.07191,0.42539,1.07205,0.84461,0.81201,0.84683,0.4608,1.45322,0.65107,1.11327,0.00299715,0.00299715,0.00299715
55,12829.9,1.06689,0.42026,1.0721,0.85407,0.80292,0.84559,0.46159,1.45328,0.65006,1.11343,0.00286502,0.00286502,0.00286502
56,13064.5,1.06648,0.41783,1.0717,0.8472,0.81067,0.84575,0.46091,1.45316,0.65045,1.11333,0.00273289,0.00273289,0.00273289
57,13298.6,1.05705,0.41709,1.06596,0.8519,0.80547,0.84561,0.46134,1.45322,0.65016,1.11374,0.00260076,0.00260076,0.00260076
58,13534.2,1.05987,0.41569,1.0693,0.84523,0.81238,0.84506,0.46155,1.45378,0.64925,1.11326,0.00246863,0.00246863,0.00246863
59,13766.9,1.05889,0.4122,1.06619,0.85281,0.80292,0.84513,0.46135,1.45386,0.64859,1.11307,0.0023365,0.0023365,0.0023365
